Altium Designer Pick and Place Locations
C:\Users\gsandar\Documents\GitHub\en.nucleo_144pins_sch\NUCLEO-144pins_Altium_Schematics-Layout\Project Outputs for Nucleo_144\Pick Place\Pick Place for DCI_MB1137.txt

========================================================================================================================
File Design Information:

Date:       05/07/22
Time:       19:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator       Comment                 Layer    Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                           
U41              M25P16-VMW6G            TopLayer MICT-MW-8_N                23.8760      48.3870      180      "16 Mb (x1) Serial NOR Flash Memory, 75 MHz, 2.7 to 3.6 V, 8-pin SO8 Wide (MW), Tube"                                 
U5               MC33077DR2G             TopLayer ONSC-SOIC-8-751-07_V       11.8110      33.3470      270      "Low Noise Dual Operational Amplifier, 5 to 36 V, -40 to 85 degC, 8-Pin SOIC, Pb-Free, Tape and Reel"                 
U42              MCU_LQFP144             TopLayer TSQFP50P2200X2200X160-144N 40.7670      36.1950      0        ""                                                                                                                    
D41              ESDA6V1BC6              TopLayer SOT23-6L                   65.0240      17.1450      90       "4-line ESD protection"                                                                                               
U43              MCP23S17T-E/ML          TopLayer QFN-ML28_L-Improved_Holes  13.5890      47.7520      0        "16 output GPIO expander"                                                                                             
C3               10uF                    TopLayer TAN-A_-_XDown              44.6914      3.8657       0        "Polarized Capacitor,10uF,10V,10%,typeA,VISHAY"                                                                       
TP_AV            TP_AVDD                 TopLayer TP                         27.1631      26.0475      90       ""                                                                                                                    
TP_AV_C          TP_AVDD_C               TopLayer TP                         16.6370      28.8290      90       ""                                                                                                                    
TP_AGND          TP_AGND                 TopLayer TP                         3.4290       39.3700      90       ""                                                                                                                    
TP_EGND          TP_EGND                 TopLayer TP                         20.9804      19.1057      270      ""                                                                                                                    
TP_GND1          TP_GND                  TopLayer TP                         58.2930      72.6740      90       ""                                                                                                                    
TP_PJ            TP_PJ                   TopLayer TP                         71.3740      58.0390      0        ""                                                                                                                    
TP_12V           TP_12V                  TopLayer TP                         73.2790      65.7860      90       ""                                                                                                                    
TP_AV_ETH        TP_AVDD_ETH             TopLayer TP                         39.5224      19.3597      90       ""                                                                                                                    
TP_V             TP_VDD                  TopLayer TP                         54.7370      70.7390      180      ""                                                                                                                    
TP_5V            TP_5V                   TopLayer TP                         55.1180      58.0390      90       ""                                                                                                                    
R30              0                       TopLayer 0603R                      8.2774       24.0587      180      Resistor                                                                                                              
C76              4.7uF_X5R_0603          TopLayer 0603C                      5.2260       46.8130      270      "0603  X5R 4.7uF"                                                                                                     
C75              100nF                   TopLayer 0603C                      6.7500       46.8130      270      Capacitor                                                                                                             
C74              100nF                   TopLayer 0603C                      8.2740       46.8130      270      Capacitor                                                                                                             
C73              100nF                   TopLayer 0603C                      20.0660      43.5610      270      Capacitor                                                                                                             
C72              100nF                   TopLayer 0603C                      21.7170      43.5610      270      Capacitor                                                                                                             
R29              0                       TopLayer 0603R                      8.3424       3.2307       180      Resistor                                                                                                              
X42              NX3225GD-8.000M-EXS00A  TopLayer OSC_2SM_3R2x2R5            27.0510      32.5780      90       "Crystal Oscillator"                                                                                                  
